record_id,entity_name,status,total_assets,total_liabilities,equity,revenue,net_income,last_updated
SEC-0000320193-LATEST,Apple Inc.,Audited,379297000000,291107000000,88190000000,62900000000,42097000000,2026-03-22T02:02:13.991833
SEC-0000789019-LATEST,Microsoft Corp,Audited,665302000000,274427000000,390875000000,19953000000,38458000000,2026-03-22T02:02:14.735400
SEC-0001652044-LATEST,Alphabet Inc.,Audited,595281000000,180016000000,415265000000,402836000000,132170000000,2026-03-22T02:02:15.223976
